Project,query,corpus,score,rank,c_is_gt,BB,RS,SF,CF
Aegis,772,Aegis:637,0.364752,17,0,0.220656,0.450864,0.422735,
Aegis,772,Aegis:713,0.497777,18,0,0.493331,1.0,0.0,
Aegis,1085,Aegis:879,0.139468,1,0,0.120686,0.297718,0.0,
Aegis,1085,Aegis:982,0.158505,2,0,0.116838,0.358677,0.0,
Aegis,1085,Aegis:996,0.160608,3,0,0.080795,0.401029,0.0,
Aegis,1085,Aegis:1046,0.185541,4,0,0.290729,0.265896,0.0,
Aegis,1085,Aegis:906,0.19984,5,0,0.096628,0.502893,0.0,
Aegis,1085,Aegis:1081,0.20601,6,0,0.275314,0.342715,0.0,
Aegis,1085,Aegis:1051,0.206448,7,0,0.326932,0.292414,0.0,
Aegis,1085,Aegis:1049,0.213252,8,0,0.265778,0.37398,0.0,
Aegis,1085,Aegis:985,0.229487,9,0,0.289491,0.398971,0.0,
Aegis,1085,Aegis:1012,0.284968,10,0,0.157659,0.292273,0.404973,
Aegis,1085,Aegis:1026,0.299619,11,0,0.044255,0.490483,0.364121,
Aegis,1085,Aegis:918,0.306615,12,0,0.247731,0.672113,0.0,
Aegis,1085,Aegis:1043,0.343278,13,1,0.090482,0.324789,0.614565,
Aegis,1085,Aegis:880,0.35621,14,0,0.267744,0.800885,0.0,
Aegis,1085,Aegis:1025,0.367157,15,0,0.261505,0.424336,0.415631,
Aegis,1085,Aegis:1050,0.428823,16,0,0.286468,1.0,0.0,
Aegis,1085,Aegis:905,0.434757,17,0,0.30427,1.0,0.0,
Anki-Android,3821,Anki-Android:3799,0.380944,1,0,0.093098,1.0,0.049734,
Anki-Android,3821,Anki-Android:3613,0.381331,2,0,0.094261,1.0,0.049734,
Anki-Android,3821,Anki-Android:3660,0.388293,3,0,0.115147,1.0,0.049734,
Anki-Android,3821,Anki-Android:3499,0.388845,4,0,0.116803,1.0,0.049734,
Anki-Android,3821,Anki-Android:2622,0.389822,5,0,0.119732,1.0,0.049734,
Anki-Android,3821,Anki-Android:3680,0.389875,6,0,0.119892,1.0,0.049734,
Anki-Android,3821,Anki-Android:3756,0.393539,7,0,0.130884,1.0,0.049734,
Anki-Android,3821,Anki-Android:2623,0.393693,8,0,0.131346,1.0,0.049734,
Anki-Android,3821,Anki-Android:3633,0.394914,9,0,0.135008,1.0,0.049734,
Anki-Android,3821,Anki-Android:3773,0.39515,10,0,0.135716,1.0,0.049734,
Anki-Android,3821,Anki-Android:3703,0.39534,11,0,0.136285,1.0,0.049734,
Anki-Android,3821,Anki-Android:3708,0.395557,12,0,0.136936,1.0,0.049734,
Anki-Android,3821,Anki-Android:3710,0.395693,13,0,0.137347,1.0,0.049734,
Anki-Android,3821,Anki-Android:3761,0.396045,14,1,0.138402,1.0,0.049734,
Anki-Android,3821,Anki-Android:2866,0.396255,15,0,0.139033,1.0,0.049734,
Anki-Android,3821,Anki-Android:3585,0.396506,16,0,0.139783,1.0,0.049734,
Anki-Android,3821,Anki-Android:2438,0.39676,17,0,0.140546,1.0,0.049734,
Anki-Android,3821,Anki-Android:3724,0.397033,18,0,0.141365,1.0,0.049734,
Anki-Android,3821,Anki-Android:2003,0.397238,19,0,0.141981,1.0,0.049734,
Anki-Android,3821,Anki-Android:3706,0.397429,20,0,0.142554,1.0,0.049734,
Anki-Android,3821,Anki-Android:3681,0.39799,21,0,0.144237,1.0,0.049734,
Anki-Android,3821,Anki-Android:3663,0.398497,22,0,0.145758,1.0,0.049734,
Anki-Android,3821,Anki-Android:3808,0.399266,23,0,0.148063,1.0,0.049734,
Anki-Android,3821,Anki-Android:3694,0.399895,24,0,0.149952,1.0,0.049734,
Anki-Android,3821,Anki-Android:3762,0.404495,25,0,0.163751,1.0,0.049734,
Anki-Android,3821,Anki-Android:3702,0.40582,26,0,0.167727,1.0,0.049734,
Anki-Android,3821,Anki-Android:3669,0.406154,27,0,0.168728,1.0,0.049734,
Anki-Android,3821,Anki-Android:3743,0.406614,28,0,0.170108,1.0,0.049734,
Anki-Android,3821,Anki-Android:3664,0.412164,29,0,0.186759,1.0,0.049734,
Anki-Android,3821,Anki-Android:3729,0.412493,30,0,0.187747,1.0,0.049734,
Anki-Android,3821,Anki-Android:2931,0.413418,31,0,0.190522,1.0,0.049734,
Anki-Android,3821,Anki-Android:3741,0.416909,32,0,0.200993,1.0,0.049734,
Anki-Android,3821,Anki-Android:3687,0.41749,33,0,0.202736,1.0,0.049734,
Anki-Android,3821,Anki-Android:3656,0.417822,34,0,0.203732,1.0,0.049734,
Anki-Android,3821,Anki-Android:3608,0.42081,35,0,0.212697,1.0,0.049734,
Anki-Android,3821,Anki-Android:3713,0.423815,36,0,0.221712,1.0,0.049734,
Anki-Android,3821,Anki-Android:3657,0.426016,37,0,0.228314,1.0,0.049734,
Anki-Android,3821,Anki-Android:3595,0.428741,38,0,0.236491,1.0,0.049734,
Anki-Android,3821,Anki-Android:3695,0.439119,39,0,0.267623,1.0,0.049734,
Anki-Android,3821,Anki-Android:1471,0.451255,40,0,0.151369,1.0,0.028419,0.625233
Anki-Android,3821,Anki-Android:3692,0.452424,41,0,0.307539,1.0,0.049734,
Anki-Android,3821,Anki-Android:1462,0.501311,42,0,0.117134,1.0,0.262877,0.625233
Anki-Android,3821,Anki-Android:3685,0.5027,43,0,0.207949,1.0,0.17762,0.625233
Anki-Android,3821,Anki-Android:3676,0.57491,44,0,0.674998,1.0,0.049734,
Anki-Android,3821,Anki-Android:3820,0.588379,45,0,0.674998,1.0,0.053286,0.625233
Anki-Android,4558,Anki-Android:4557,0.080412,1,1,0.054629,0.186607,0.0,
Anki-Android,4558,Anki-Android:4396,0.085811,2,0,0.131793,0.125639,0.0,
Anki-Android,4558,Anki-Android:4547,0.098327,3,0,0.082259,0.212722,0.0,
Anki-Android,4558,Anki-Android:4546,0.10714,4,0,0.044031,0.277388,0.0,
Anki-Android,4558,Anki-Android:4336,0.111084,5,0,0.064597,0.268656,0.0,
Anki-Android,4558,Anki-Android:4319,0.131227,6,0,0.104843,0.288838,0.0,
Anki-Android,4558,Anki-Android:4535,0.131502,7,0,0.125893,0.268614,0.0,
Anki-Android,4558,Anki-Android:4131,0.133041,8,0,0.181487,0.217636,0.0,
Anki-Android,4558,Anki-Android:4343,0.1377,9,0,0.130925,0.282177,0.0,
Anki-Android,4558,Anki-Android:4333,0.13881,10,0,0.13353,0.2829,0.0,
Anki-Android,4558,Anki-Android:4540,0.140017,11,0,0.146315,0.273735,0.0,
Anki-Android,4558,Anki-Android:4366,0.142371,12,0,0.151739,0.275375,0.0,
Anki-Android,4558,Anki-Android:4364,0.145414,13,0,0.165366,0.270877,0.0,
Anki-Android,4558,Anki-Android:4296,0.148986,14,0,0.128196,0.318762,0.0,
Anki-Android,4558,Anki-Android:4363,0.155804,15,0,0.208075,0.259337,0.0,
Anki-Android,4558,Anki-Android:4313,0.158812,16,0,0.277484,0.198952,0.0,
Anki-Android,4558,Anki-Android:4368,0.158854,17,0,0.220026,0.256536,0.0,
Anki-Android,4558,Anki-Android:4530,0.163025,18,0,0.074492,0.308009,0.106572,
Anki-Android,4558,Anki-Android:4257,0.166973,19,0,0.269153,0.231765,0.0,
Anki-Android,4558,Anki-Android:4334,0.167706,20,0,0.235006,0.268111,0.0,
Anki-Android,4558,Anki-Android:4189,0.17224,21,0,0.252025,0.264694,0.0,
Anki-Android,4558,Anki-Android:4316,0.174857,22,0,0.201821,0.32275,0.0,
Anki-Android,4558,Anki-Android:4162,0.17973,23,0,0.21644,0.32275,0.0,
Anki-Android,4558,Anki-Android:4485,0.181753,24,0,0.177307,0.28447,0.083481,
Anki-Android,4558,Anki-Android:4497,0.183857,25,0,0.109047,0.241813,0.20071,
Anki-Android,4558,Anki-Android:4259,0.185255,26,0,0.235366,0.320398,0.0,
Anki-Android,4558,Anki-Android:4277,0.186006,27,0,0.268078,0.289941,0.0,
Anki-Android,4558,Anki-Android:4119,0.186621,28,0,0.254526,0.305337,0.0,
Anki-Android,4558,Anki-Android:4130,0.187223,29,0,0.227085,0.334584,0.0,
Anki-Android,4558,Anki-Android:4233,0.18848,30,0,0.167752,0.397687,0.0,
Anki-Android,4558,Anki-Android:4328,0.189243,31,0,0.273879,0.29385,0.0,
Anki-Android,4558,Anki-Android:4132,0.196903,32,0,0.300143,0.290567,0.0,
Anki-Android,4558,Anki-Android:4104,0.200417,33,0,0.260241,0.34101,0.0,
Anki-Android,4558,Anki-Android:4248,0.204842,34,0,0.264155,0.302412,0.047957,
Anki-Android,4558,Anki-Android:4085,0.205991,35,0,0.250775,0.367199,0.0,
Anki-Android,4558,Anki-Android:4204,0.218433,36,0,0.193303,0.461996,0.0,
Anki-Android,4558,Anki-Android:4525,0.226803,37,0,0.059449,0.319006,0.301954,
Anki-Android,4558,Anki-Android:4431,0.236247,38,0,0.275152,0.300375,0.133215,
Anki-Android,4558,Anki-Android:4511,0.241648,39,0,0.094181,0.247103,0.383659,
Anki-Android,4558,Anki-Android:4205,0.241736,40,0,0.255013,0.470196,0.0,
Anki-Android,4558,Anki-Android:4317,0.253319,41,0,0.29796,0.461996,0.0,
Anki-Android,4558,Anki-Android:4449,0.263856,42,0,0.182934,0.26938,0.339254,
Anki-Android,4558,Anki-Android:4423,0.280869,43,0,0.105659,0.319541,0.417407,
Anki-Android,4558,Anki-Android:4499,0.301475,44,0,0.10715,0.328357,0.468917,
Anki-Android,4558,Anki-Android:4401,0.30191,45,0,0.138096,0.275627,0.492007,
Anki-Android,4558,Anki-Android:4190,0.319502,46,0,0.228372,0.730136,0.0,
Anki-Android,4558,Anki-Android:4315,0.330181,47,0,0.260407,0.730136,0.0,
Anki-Android,4558,Anki-Android:4314,0.372368,48,0,0.117104,1.0,0.0,
Anki-Android,4558,Anki-Android:4230,0.422673,49,0,0.26802,1.0,0.0,
Anki-Android,4558,Anki-Android:4091,0.425608,50,0,0.276825,1.0,0.0,
Anki-Android,4558,Anki-Android:4278,0.428068,51,0,0.284204,1.0,0.0,
Anki-Android,4558,Anki-Android:4232,0.463276,52,0,0.389827,1.0,0.0,
Anki-Android,4558,Anki-Android:4212,0.463276,53,0,0.389827,1.0,0.0,
Anki-Android,4558,Anki-Android:4311,0.463276,54,0,0.389827,1.0,0.0,
Anki-Android,4558,Anki-Android:4529,0.486125,55,0,0.280755,1.0,0.17762,
Anki-Android,4558,Anki-Android:4252,0.548133,56,0,0.6444,1.0,0.0,
Anki-Android,4558,Anki-Android:4217,0.548133,57,0,0.6444,1.0,0.0,
Anki-Android,4558,Anki-Android:4437,0.603788,58,0,0.6444,1.0,0.166963,
Anki-Android,4558,Anki-Android:4251,0.653521,59,0,0.6444,1.0,0.316163,
Anki-Android,7450,Anki-Android:6562,0.038452,1,0,0.016459,0.098896,0.0,
Anki-Android,7450,Anki-Android:6599,0.039068,2,0,0.022467,0.094738,0.0,
Anki-Android,7450,Anki-Android:6649,0.045569,3,0,0.007095,0.129613,0.0,
Anki-Android,7450,Anki-Android:5603,0.045936,4,0,0.037991,0.099816,0.0,
Anki-Android,7450,Anki-Android:6681,0.046839,5,0,0.013189,0.127329,0.0,
Anki-Android,7450,Anki-Android:6015,0.047053,6,0,0.018115,0.123044,0.0,
Anki-Android,7450,Anki-Android:5576,0.047504,7,0,0.012835,0.129676,0.0,
Anki-Android,7450,Anki-Android:6161,0.04825,8,0,0.016296,0.128454,0.0,
Anki-Android,7450,Anki-Android:5889,0.048554,9,0,0.037536,0.108125,0.0,
Anki-Android,7450,Anki-Android:6185,0.048753,10,0,0.044198,0.10206,0.0,
Anki-Android,7450,Anki-Android:7036,0.049309,11,0,0.0174,0.130526,0.0,
Anki-Android,7450,Anki-Android:5977,0.051232,12,0,0.029076,0.124621,0.0,
Anki-Android,7450,Anki-Android:5777,0.053416,13,0,0.021757,0.138492,0.0,
Anki-Android,7450,Anki-Android:7369,0.055875,14,1,0.052995,0.114629,0.0,
Anki-Android,7450,Anki-Android:5617,0.057049,15,0,0.040763,0.130383,0.0,
Anki-Android,7450,Anki-Android:6726,0.058088,16,0,0.017279,0.156985,0.0,
Anki-Android,7450,Anki-Android:6111,0.058273,17,0,0.050313,0.124508,0.0,
Anki-Android,7450,Anki-Android:5619,0.058516,18,0,0.018981,0.156565,0.0,
Anki-Android,7450,Anki-Android:6587,0.058796,19,0,0.064628,0.11176,0.0,
Anki-Android,7450,Anki-Android:7018,0.059729,20,0,0.024337,0.15485,0.0,
Anki-Android,7450,Anki-Android:5706,0.059868,21,0,0.035426,0.144177,0.0,
Anki-Android,7450,Anki-Android:5884,0.059935,22,0,0.058836,0.120971,0.0,
Anki-Android,7450,Anki-Android:6687,0.060057,23,0,0.051485,0.128687,0.0,
Anki-Android,7450,Anki-Android:6720,0.06065,24,0,0.066149,0.1158,0.0,
Anki-Android,7450,Anki-Android:6298,0.062945,25,0,0.083549,0.105287,0.0,
Anki-Android,7450,Anki-Android:7174,0.06307,26,0,0.015478,0.173733,0.0,
Anki-Android,7450,Anki-Android:6713,0.06348,27,0,0.017483,0.172957,0.0,
Anki-Android,7450,Anki-Android:6936,0.063506,28,0,0.022784,0.167735,0.0,
Anki-Android,7450,Anki-Android:7380,0.063612,29,0,0.039517,0.151319,0.0,
Anki-Android,7450,Anki-Android:7366,0.063767,30,0,0.070386,0.120916,0.0,
Anki-Android,7450,Anki-Android:6673,0.064424,31,0,0.051386,0.141886,0.0,
Anki-Android,7450,Anki-Android:7408,0.065911,32,0,0.081673,0.116058,0.0,
Anki-Android,7450,Anki-Android:6088,0.066068,33,0,0.050486,0.147718,0.0,
Anki-Android,7450,Anki-Android:6228,0.066116,34,0,0.08551,0.112839,0.0,
Anki-Android,7450,Anki-Android:6439,0.066131,35,0,0.082336,0.116058,0.0,
Anki-Android,7450,Anki-Android:5723,0.067026,36,0,0.062375,0.138703,0.0,
Anki-Android,7450,Anki-Android:5726,0.068168,37,0,0.073505,0.131,0.0,
Anki-Android,7450,Anki-Android:6981,0.069459,38,0,0.08207,0.126306,0.0,
Anki-Android,7450,Anki-Android:6795,0.070909,39,0,0.090213,0.122515,0.0,
Anki-Android,7450,Anki-Android:6118,0.070939,40,0,0.024372,0.188445,0.0,
Anki-Android,7450,Anki-Android:5681,0.072159,41,0,0.062998,0.153479,0.0,
Anki-Android,7450,Anki-Android:6155,0.072192,42,0,0.043234,0.173342,0.0,
Anki-Android,7450,Anki-Android:6156,0.072192,43,0,0.043234,0.173342,0.0,
Anki-Android,7450,Anki-Android:5669,0.073036,44,0,0.057186,0.161922,0.0,
Anki-Android,7450,Anki-Android:7165,0.074478,45,0,0.081208,0.142226,0.0,
Anki-Android,7450,Anki-Android:5687,0.075422,46,0,0.100379,0.125887,0.0,
Anki-Android,7450,Anki-Android:7336,0.076057,47,0,0.085208,0.142962,0.0,
Anki-Android,7450,Anki-Android:6669,0.076697,48,0,0.098698,0.131392,0.0,
Anki-Android,7450,Anki-Android:6133,0.07682,49,0,0.026754,0.203707,0.0,
Anki-Android,7450,Anki-Android:6057,0.078298,50,0,0.083142,0.151752,0.0,
Anki-Android,7450,Anki-Android:7232,0.078832,51,0,0.112992,0.123504,0.0,
Anki-Android,7450,Anki-Android:5776,0.08064,52,0,0.11522,0.126701,0.0,
Anki-Android,7450,Anki-Android:7121,0.081465,53,0,0.036046,0.146181,0.062167,
Anki-Android,7450,Anki-Android:5793,0.081468,54,0,0.015023,0.121034,0.108348,
Anki-Android,7450,Anki-Android:6051,0.08275,55,0,0.088299,0.15995,0.0,
Anki-Android,7450,Anki-Android:5735,0.082782,56,0,0.037005,0.211341,0.0,
Anki-Android,7450,Anki-Android:5716,0.082947,57,0,0.100842,0.148,0.0,
Anki-Android,7450,Anki-Android:6894,0.083421,58,0,0.078653,0.171609,0.0,
Anki-Android,7450,Anki-Android:5640,0.083715,59,0,0.029888,0.167972,0.053286,
Anki-Android,7450,Anki-Android:7294,0.083741,60,0,0.084699,0.166525,0.0,
Anki-Android,7450,Anki-Android:6109,0.08649,61,0,0.062599,0.196872,0.0,
Anki-Android,7450,Anki-Android:6614,0.087698,62,0,0.030086,0.233008,0.0,
Anki-Android,7450,Anki-Android:6950,0.088323,63,0,0.099084,0.165885,0.0,
Anki-Android,7450,Anki-Android:6904,0.088742,64,0,0.114847,0.151379,0.0,
Anki-Android,7450,Anki-Android:7076,0.08946,65,0,0.021562,0.074526,0.172291,
Anki-Android,7450,Anki-Android:7279,0.090246,66,0,0.064632,0.206104,0.0,
Anki-Android,7450,Anki-Android:5775,0.090427,67,0,0.129178,0.142102,0.0,
Anki-Android,7450,Anki-Android:5707,0.090682,68,0,0.077483,0.194564,0.0,
Anki-Android,7450,Anki-Android:6103,0.092233,69,0,0.085591,0.191108,0.0,
Anki-Android,7450,Anki-Android:5694,0.092446,70,0,0.031518,0.245819,0.0,
Anki-Android,7450,Anki-Android:5737,0.092963,71,0,0.05706,0.22183,0.0,
Anki-Android,7450,Anki-Android:5987,0.09622,72,0,0.110553,0.178107,0.0,
Anki-Android,7450,Anki-Android:6119,0.097143,73,0,0.043291,0.248138,0.0,
Anki-Android,7450,Anki-Android:5667,0.099344,74,0,0.080489,0.217544,0.0,
Anki-Android,7450,Anki-Android:6392,0.101547,75,0,0.089471,0.21517,0.0,
Anki-Android,7450,Anki-Android:6209,0.101783,76,0,0.078926,0.226423,0.0,
Anki-Android,7450,Anki-Android:7129,0.101817,77,0,0.02726,0.169843,0.108348,
Anki-Android,7450,Anki-Android:6929,0.102224,78,0,0.06848,0.238193,0.0,
Anki-Android,7450,Anki-Android:5704,0.102328,79,0,0.115046,0.191937,0.0,
Anki-Android,7450,Anki-Android:5585,0.102419,80,0,0.119583,0.187674,0.0,
Anki-Android,7450,Anki-Android:7285,0.102835,81,0,0.032784,0.27572,0.0,
Anki-Android,7450,Anki-Android:5792,0.105031,82,0,0.046202,0.116139,0.152753,
Anki-Android,7450,Anki-Android:6964,0.10654,83,0,0.130136,0.189483,0.0,
Anki-Android,7450,Anki-Android:5660,0.107353,84,0,0.036744,0.182296,0.10302,
Anki-Android,7450,Anki-Android:7286,0.107735,85,0,0.038432,0.284774,0.0,
Anki-Android,7450,Anki-Android:6996,0.107738,86,0,0.090484,0.232731,0.0,
Anki-Android,7450,Anki-Android:7275,0.109169,87,0,0.067055,0.260452,0.0,
Anki-Android,7450,Anki-Android:6845,0.111691,88,0,0.076657,0.142962,0.115453,
Anki-Android,7450,Anki-Android:6028,0.116483,89,0,0.155805,0.193645,0.0,
Anki-Android,7450,Anki-Android:5923,0.117714,90,0,0.078102,0.275041,0.0,
Anki-Android,7450,Anki-Android:6323,0.119409,91,0,0.114034,0.244192,0.0,
Anki-Android,7450,Anki-Android:7375,0.120851,92,0,0.071755,0.290799,0.0,
Anki-Android,7450,Anki-Android:5808,0.145277,93,0,0.133586,0.18324,0.119005,
Anki-Android,7450,Anki-Android:5802,0.145427,94,0,0.060353,0.141469,0.234458,
Anki-Android,7450,Anki-Android:6018,0.149479,95,0,0.264857,0.183579,0.0,
Anki-Android,7450,Anki-Android:5766,0.170953,96,0,0.101572,0.411285,0.0,
Anki-Android,7450,Anki-Android:7231,0.173892,97,0,0.118278,0.403399,0.0,
Anki-Android,7450,Anki-Android:6754,0.205953,98,0,0.151011,0.166672,0.300178,
Anki-Android,7450,Anki-Android:6576,0.21768,99,0,0.113461,0.539579,0.0,
Anki-Android,7450,Anki-Android:7119,0.291815,100,0,0.111691,0.190041,0.573712,
Anki-Android,7450,Anki-Android:5595,0.357845,101,0,0.073536,1.0,0.0,
Anki-Android,7450,Anki-Android:7397,0.37316,102,0,0.119481,1.0,0.0,
Anki-Android,7450,Anki-Android:6664,0.384284,103,0,0.69963,0.453223,0.0,
Anki-Android,7450,Anki-Android:6512,0.407234,104,0,0.221702,1.0,0.0,
Anki-Android,7450,Anki-Android:6700,0.46775,105,0,0.403249,1.0,0.0,
Anki-Android,8010,Anki-Android:7934,0.055612,1,0,0.013524,0.153312,0.0,
Anki-Android,8010,Anki-Android:7369,0.058503,2,0,0.020329,0.155181,0.0,
Anki-Android,8010,Anki-Android:6599,0.059223,3,0,0.018665,0.159002,0.0,
Anki-Android,8010,Anki-Android:7717,0.063227,4,0,0.022409,0.167271,0.0,
Anki-Android,8010,Anki-Android:7174,0.063537,5,0,0.014162,0.176451,0.0,
Anki-Android,8010,Anki-Android:6562,0.064086,6,0,0.020534,0.171725,0.0,
Anki-Android,8010,Anki-Android:6161,0.064096,7,0,0.007704,0.184583,0.0,
Anki-Android,8010,Anki-Android:7036,0.066641,8,0,0.016876,0.183048,0.0,
Anki-Android,8010,Anki-Android:7716,0.066956,9,0,0.021396,0.179473,0.0,
Anki-Android,8010,Anki-Android:6133,0.067316,10,0,0.053265,0.148682,0.0,
Anki-Android,8010,Anki-Android:7503,0.067633,11,0,0.011306,0.191593,0.0,
Anki-Android,8010,Anki-Android:5884,0.067931,12,0,0.037,0.166794,0.0,
Anki-Android,8010,Anki-Android:7366,0.069723,13,0,0.039446,0.169722,0.0,
Anki-Android,8010,Anki-Android:6228,0.070083,14,0,0.051114,0.159136,0.0,
Anki-Android,8010,Anki-Android:6298,0.07039,15,0,0.04971,0.16146,0.0,
Anki-Android,8010,Anki-Android:5977,0.070424,16,0,0.026484,0.184787,0.0,
Anki-Android,8010,Anki-Android:7950,0.070453,17,0,0.007154,0.204205,0.0,
Anki-Android,8010,Anki-Android:7450,0.07093,18,0,0.025725,0.187065,0.0,
Anki-Android,8010,Anki-Android:6015,0.071619,19,0,0.012274,0.202582,0.0,
Anki-Android,8010,Anki-Android:6649,0.071705,20,0,0.029561,0.185552,0.0,
Anki-Android,8010,Anki-Android:5777,0.072342,21,0,0.015006,0.20202,0.0,
Anki-Android,8010,Anki-Android:6713,0.074059,22,0,0.04042,0.181756,0.0,
Anki-Android,8010,Anki-Android:5889,0.074111,23,0,0.037293,0.185039,0.0,
Anki-Android,8010,Anki-Android:6118,0.074999,24,0,0.018244,0.206752,0.0,
Anki-Android,8010,Anki-Android:6587,0.075658,25,0,0.037648,0.189325,0.0,
Anki-Android,8010,Anki-Android:6726,0.075881,26,0,0.019358,0.208284,0.0,
Anki-Android,8010,Anki-Android:6051,0.076591,27,0,0.055784,0.17399,0.0,
Anki-Android,8010,Anki-Android:6720,0.076795,28,0,0.040127,0.190259,0.0,
Anki-Android,8010,Anki-Android:6439,0.076974,29,0,0.048269,0.182654,0.0,
Anki-Android,8010,Anki-Android:7946,0.077008,30,0,0.020601,0.210424,0.0,
Anki-Android,8010,Anki-Android:6681,0.077405,31,0,0.04034,0.191874,0.0,
Anki-Android,8010,Anki-Android:7408,0.077502,32,0,0.049854,0.182654,0.0,
Anki-Android,8010,Anki-Android:8008,0.077729,33,0,0.023747,0.20944,0.0,
Anki-Android,8010,Anki-Android:6936,0.077768,34,0,0.014936,0.218369,0.0,
Anki-Android,8010,Anki-Android:5726,0.079831,35,0,0.041898,0.197595,0.0,
Anki-Android,8010,Anki-Android:7832,0.08007,36,0,0.027441,0.212768,0.0,
Anki-Android,8010,Anki-Android:6795,0.080708,37,0,0.058463,0.183661,0.0,
Anki-Android,8010,Anki-Android:6111,0.082013,38,0,0.033136,0.212904,0.0,
Anki-Android,8010,Anki-Android:7919,0.082294,39,0,0.048254,0.198628,0.0,
Anki-Android,8010,Anki-Android:5723,0.082546,40,0,0.043216,0.204421,0.0,
Anki-Android,8010,Anki-Android:6981,0.083048,41,0,0.049482,0.199663,0.0,
Anki-Android,8010,Anki-Android:7336,0.083248,42,0,0.051138,0.198606,0.0,
Anki-Android,8010,Anki-Android:7121,0.08349,43,0,0.020452,0.167853,0.062167,
Anki-Android,8010,Anki-Android:6119,0.083654,44,0,0.02613,0.224831,0.0,
Anki-Android,8010,Anki-Android:7232,0.083883,45,0,0.08065,0.170999,0.0,
Anki-Android,8010,Anki-Android:6669,0.084928,46,0,0.06816,0.186623,0.0,
Anki-Android,8010,Anki-Android:6687,0.086105,47,0,0.092411,0.165904,0.0,
Anki-Android,8010,Anki-Android:6185,0.086227,48,0,0.080371,0.178311,0.0,
Anki-Android,8010,Anki-Android:7465,0.087298,49,0,0.061938,0.199956,0.0,
Anki-Android,8010,Anki-Android:6673,0.089415,50,0,0.024642,0.243604,0.0,
Anki-Android,8010,Anki-Android:7018,0.09038,51,0,0.060395,0.210746,0.0,
Anki-Android,8010,Anki-Android:5716,0.091174,52,0,0.082008,0.191515,0.0,
Anki-Android,8010,Anki-Android:7380,0.091228,53,0,0.076311,0.197373,0.0,
Anki-Android,8010,Anki-Android:6028,0.093371,54,0,0.140384,0.13973,0.0,
Anki-Android,8010,Anki-Android:7798,0.093656,55,0,0.024249,0.256719,0.0,
Anki-Android,8010,Anki-Android:6950,0.093891,56,0,0.065352,0.216322,0.0,
Anki-Android,8010,Anki-Android:7945,0.094148,57,0,0.07874,0.203704,0.0,
Anki-Android,8010,Anki-Android:7793,0.094547,58,0,0.046047,0.237594,0.0,
